collected_videos_count,collection_time,influencer_id,id,nickname,followers,hearts
10.0,1674148525305.0,6.66048173875603e+18,palette.accessories,Tiệm trang sức PALETTE,3.0,37.0
10.0,1674149805885.0,6.662550243537781e+18,phuonglinhvo97,Plinhhhhh,18300.0,71900.0
10.0,1674148960832.0,6.663681524661223e+18,missxushop,missxushop,63.0,49.0
10.0,1674149918701.0,6.664493132808454e+18,zinniaboutique,Zinniaboutique,162.0,81.0
10.0,1674148916445.0,6.665189267650298e+18,sheshoes.vn,Giày cưới SHE SHOES,10000.0,15600.0
10.0,1674148760572.0,6.666987129287295e+18,fm.com.vn,FM STYLE,15900.0,63600.0
10.0,1674234823891.0,6.667364594166055e+18,jitee.store,jitee.store,56.0,164.0
10.0,1674148537215.0,6.667758872772624e+18,lyrashop,LYRA SHOP,57900.0,459400.0
10.0,1674148742764.0,6.66812167034513e+18,moe1m77,Moè 1m77,398600.0,3400000.0
10.0,1674148528421.0,6.66901605843714e+18,xuannnmai,maii,943400.0,8000000.0
10.0,1674150505826.0,6.670317557235319e+18,mixmix.vn,Mixmix,91.0,133.0
10.0,1674148593645.0,6.670791169163166e+18,hana.mynhan,Trương Mỹ Nhân,349500.0,6100000.0
10.0,1674148923113.0,6.671811309007143e+18,bychloenguyen,Chloe Nguyen,109900.0,1100000.0
10.0,1674149465004.0,6.672323812644341e+18,jiin.store_,jiin.store_,116000.0,1100000.0
10.0,1674148688893.0,6.674760059547944e+18,dieuanh.mocdang,𝐌𝐎𝐂 𝐃𝐀𝐍𝐆,154100.0,1900000.0
10.0,1674149202923.0,6.676362501506663e+18,myanstore,MYAN,35600.0,115100.0
10.0,1674149422085.0,6.677759075793028e+18,nguyenyunie97,Nguyên Yunie 🧀,21900.0,68400.0
10.0,1674148447791.0,6.677811008981075e+18,upzstore,UPZ,7719.0,16200.0
10.0,1674151080776.0,6.678607781304403e+18,tieu_hy26,Tiểu Hý,2800000.0,39400000.0
10.0,1674148488026.0,6.681204312762435e+18,qunhlem,✯♡ sody ♡✯,4526.0,163800.0
10.0,1674149165018.0,6.68195346555057e+18,oia.studios,oia.studios,35100.0,249500.0
10.0,1674149080231.0,6.685203469920339e+18,byjolievn,Byjolie,2546.0,54000.0
10.0,1674148880701.0,6.687157653234796e+18,azeyyyyyy_,Gái mặt căng 🧍🏻‍♀️,175500.0,3100000.0
10.0,1674148916646.0,6.690842128090875e+18,mayboutique,May Boutique,44200.0,362400.0
10.0,1674148606429.0,6.692337876891862e+18,degrey.vn,CHÚ CÁ,76200.0,474300.0
10.0,1674148709882.0,6.693072235236591e+18,thienthysaint98,♡ Thiên Thy Saint ♡,324200.0,3300000.0
10.0,1674149121274.0,6.693742723663332e+18,shevietnam.vn,Shevietnam,216.0,1939.0
10.0,1674148719268.0,6.694995638465529e+18,_lotusnie,lotusnie,16500.0,170800.0
10.0,1674149263636.0,6.695242841054823e+18,titishop.vn,Titishop.vn,1481.0,16300.0
10.0,1674148707917.0,6.695684187938211e+18,lienhuong212,Nguyễn Hương Liên,474700.0,10300000.0
